idade;classe_trabalho;escolaridade;anos_estudo;estado_civil;raca;sexo;UF;região;qtde_filhos;salario
39;Servidor Público;Ensino Médio Completo;13;Solteiro;Branco;Masculino;RO;Norte;2;4754
50;Autônomo;Superior Incompleto;13;Casado;Branco;Masculino;AC;Norte;1;3923
38;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;AM;Norte;0;1100
53;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Negro;Masculino;RR;Norte;1;1100
28;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Negro;Feminino;PA;Norte;0;3430
37;Funcionário Setor Privado;Mestrado;14;Casado;Branco;Feminino;AP;Norte;1;10787
49;Funcionário Setor Privado;Ensino Fundamental Completo;5;União Estável;Negro;Feminino;TO;Norte;1;1100
52;Autônomo;Ensino Médio Incompleto;9;Casado;Branco;Masculino;MA;Nordeste;4;1100
31;Funcionário Setor Privado;Mestrado;14;Solteiro;Branco;Feminino;PI;Nordeste;4;6031
42;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;CE;Nordeste;5;3798
37;Funcionário Setor Privado;Superior Completo;10;Casado;Negro;Masculino;RN;Nordeste;4;10316
30;Servidor Público;Superior Incompleto;13;Casado;Pardo;Masculino;PB;Nordeste;5;3369
23;Funcionário Setor Privado;Pós-Graduado;13;Solteiro;Branco;Feminino;PE;Nordeste;;5316
32;Funcionário Setor Privado;Ensino Médio Completo;12;Solteiro;Negro;Masculino;AL;Nordeste;1;2897
40;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Pardo;Masculino;SE;Nordeste;5;3269
34;Funcionário Setor Privado;Ensino Fundamental Incompleto;4;Casado;Indígena;Masculino;BA;Nordeste;5;1100
25;Autônomo;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;MG;Sudeste;3;1100
32;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;ES;Sudeste;5;1100
38;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;RJ;Sudeste;1;1100
43;Autônomo;Mestrado;14;Divorciado;Branco;Feminino;SP;Sudeste;1;6120
40;Funcionário Setor Privado;Doutorado;16;Casado;Branco;Masculino;PR;Sul;;12535
54;Funcionário Setor Privado;Ensino Médio Incompleto;9;Separado;Negro;Feminino;SC;Sul;2;1100
35;Funcionário Público;Ensino Fundamental Completo;5;Casado;Negro;Masculino;RS;Sul;4;1511
43;Funcionário Setor Privado;Ensino Médio Incompleto;7;Casado;Branco;Masculino;MS;Centro-Oeste;3;1100
59;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Feminino;MT;Centro-Oeste;2;1100
56;Empresário;Ensino Médio Completo;13;Casado;Branco;Masculino;GO;Centro-Oeste;0;10671
19;Estagiário;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;DF;Centro-Oeste;2;1100
54;Desempregado;Ensino Médio Completo;10;Casado;Pardo;Masculino;RO;Norte;4;0
39;Funcionário Setor Privado;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;AC;Norte;0;1100
49;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AM;Norte;5;1100
23;Empresário;Ensino Médio Completo;12;Solteiro;Branco;Masculino;RR;Norte;3;13883
20;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Negro;Masculino;PA;Norte;0;2635
45;Funcionário Setor Privado;Ensino Médio Completo;13;Divorciado;Branco;Masculino;AP;Norte;5;2476
30;Funcionário Público;Ensino Médio Completo;10;Casado;Branco;Masculino;TO;Norte;3;3901
22;Servidor Público;Ensino Médio Completo;10;Casado;Negro;Masculino;MA;Nordeste;5;5257
48;Funcionário Setor Privado;Ensino Médio Incompleto;7;Solteiro;Branco;Masculino;PI;Nordeste;1;1100
21;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;CE;Nordeste;2;2361
19;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Feminino;RN;Nordeste;1;1100
31;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;PB;Nordeste;1;2583
48;Autônomo;Ensino Médio Completo;12;Casado;Branco;Masculino;PE;Nordeste;5;3669
31;Funcionário Setor Privado;Ensino Fundamental Completo;5;Casado;Branco;Masculino;AL;Nordeste;5;1100
53;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;SE;Nordeste;2;2067
24;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;BA;Nordeste;0;2682
49;Funcionário Setor Privado;Ensino Médio Incompleto;9;Separado;Branco;Feminino;MG;Sudeste;5;1100
25;Funcionário Setor Privado;Superior Completo;9;Solteiro;Branco;Masculino;ES;Sudeste;2;8359
57;Funcionário Público;Superior Incompleto;13;Casado;Negro;Masculino;RJ;Sudeste;4;4789
53;Funcionário Setor Privado;Pós-Graduado;9;Casado;Branco;Masculino;SP;Sudeste;0;11972
44;Funcionário Setor Privado;Mestrado;14;Divorciado;Branco;Feminino;PR;Sul;2;10065
41;Servidor Público;Ensino Médio Completo;11;Casado;Branco;Masculino;SC;Sul;4;3657
29;Funcionário Setor Privado;Ensino Médio Completo;11;Solteiro;Branco;Masculino;RS;Sul;4;3484
25;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Amarelo;Feminino;MS;Centro-Oeste;4;2656
18;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Feminino;MT;Centro-Oeste;1;1100
47;Funcionário Setor Privado;Mestrado;15;Casado;Branco;Feminino;GO;Centro-Oeste;3;8630
50;Funcionário Público;Ensino Médio Completo;13;Divorciado;Branco;Masculino;DF;Centro-Oeste;3;5217
47;MEI;Ensino Médio Incompleto;9;Divorciado;Branco;Masculino;RO;Norte;4;3603
43;Funcionário Setor Privado;Ensino Médio Completo;10;Casado;Branco;Masculino;AC;Norte;1;3357
46;Funcionário Setor Privado;Ensino Fundamental Incompleto;3;Casado;Branco;Masculino;AM;Norte;5;1100
35;Funcionário Setor Privado;Ensino Médio Completo;11;Casado;Branco;Masculino;RR;Norte;2;3014
41;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PA;Norte;2;1100
30;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;AP;Norte;1;1100
30;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;TO;Norte;4;2201
32;;Ensino Fundamental Incompleto;4;União Estável;Branco;Masculino;MA;Nordeste;4;1100
48;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PI;Nordeste;3;1100
42;Funcionário Setor Privado;Doutorado;16;Casado;Branco;Masculino;CE;Nordeste;4;11416
29;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Masculino;RN;Nordeste;4;3865
36;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Masculino;PB;Nordeste;1;1100
28;Funcionário Setor Privado;Ensino Médio Completo;10;Divorciado;Branco;Feminino;PE;Nordeste;0;2245
53;Funcionário Setor Privado;Ensino Médio Incompleto;9;Casado;Branco;Feminino;AL;Nordeste;3;1100
49;MEI;Ensino Médio Completo;10;Casado;Branco;Masculino;SE;Nordeste;1;5011
25;;Ensino Médio Completo;10;Solteiro;Branco;Masculino;BA;Nordeste;3;3450
19;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;MG;Sudeste;2;3554
31;Funcionário Setor Privado;Ensino Médio Completo;13;Separado;Negro;Feminino;ES;Sudeste;4;3805
29;Autônomo;Ensino Médio Completo;13;Casado;Branco;Masculino;RJ;Sudeste;4;2465
23;Funcionário Setor Privado;Ensino Médio Completo;10;Solteiro;Branco;Masculino;SP;Sudeste;3;3916
79;Aposentado;Ensino Médio Completo;10;Casado;Branco;Masculino;PR;Sul;5;1495
27;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;SC;Sul;3;1100
40;Funcionário Setor Privado;Ensino Médio Completo;12;Casado;Branco;Masculino;RS;Sul;0;3124
67;Aposentado;Ensino Fundamental Completo;6;Casado;Branco;Masculino;MS;Centro-Oeste;1;1711
18;Funcionário Setor Privado;Ensino Médio Incompleto;7;Solteiro;Branco;Feminino;MT;Centro-Oeste;0;1100
31;Empresário;Ensino Fundamental Incompleto;4;Casado;Branco;Masculino;GO;Centro-Oeste;2;13518
18;Funcionário Setor Privado;Ensino Médio Incompleto;9;Solteiro;Branco;Masculino;DF;Centro-Oeste;1;1100
52;Funcionário Setor Privado;Ensino Médio Completo;13;Casado;Branco;Masculino;RO;Norte;3;3919
